Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,463.0826,22.1798,22.0591,0.1207,21.7811,3.3108,3.0052,0.3056,37.3764,20.8482,-1.5812,463.0826,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,485.2624,22.4506,22.3524,0.0982,22.0353,3.2312,2.9707,0.2605,36.0448,25.0106,1.3316,485.2624,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,507.7130,23.4784,23.3709,0.1075,23.2147,3.0943,2.7188,0.3755,38.6048,16.6616,-2.5600,507.7130,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,531.1914,23.5391,23.3691,0.1700,22.4418,3.5382,2.7425,0.7957,31.7880,20.8612,6.8168,531.1914,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,554.7305,24.5718,24.1424,0.4294,23.9122,3.5127,2.8186,0.6941,29.1101,24.9931,2.6779,554.7305,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,579.3023,24.3119,24.0890,0.2229,24.0005,3.5675,2.7623,0.8052,29.5314,25.0069,-0.4213,579.3023,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,603.6142,25.2225,24.9503,0.2722,24.6720,3.8365,2.7430,1.0935,30.2264,25.0156,-0.6950,603.6142,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,628.8367,24.4565,24.2167,0.2398,23.9105,3.3842,2.7158,0.6684,30.0195,24.9967,0.2069,628.8367,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,653.2932,25.2195,25.0339,0.1856,24.6843,3.4986,2.7553,0.7433,30.5597,25.0009,-0.5402,653.2932,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,678.5127,24.2683,24.0648,0.2035,23.5155,3.4569,2.6619,0.7950,30.3411,25.0081,0.2186,678.5127,NA,NA,NA
