Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8022.5252,3.0099,0.6485,2.3614,2.9341,2.2414,2.2414,0.0000,13.8169,4.1604,0.7385,8022.5252,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8025.5351,2.2435,0.7492,1.4943,2.1656,2.6552,2.6552,0.0000,14.9674,4.1784,-1.1505,8025.5351,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8027.7786,2.6567,0.7353,1.9214,2.5773,2.2767,2.2767,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8030.4353,2.2841,0.6325,1.6516,2.1973,2.6874,2.6874,0.0000,14.2456,4.1784,0.7218,8030.4353,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8032.7194,2.6755,0.7037,1.9718,2.6006,2.6754,2.6754,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8035.3949,2.7091,0.7629,1.9462,2.6005,2.2555,2.2555,0.0000,13.4644,4.1461,0.7812,8035.3949,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8038.1040,2.2233,0.7684,1.4549,2.1469,2.6934,2.6934,0.0000,14.9014,4.1640,-1.4370,8038.1040,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8040.3273,2.6928,0.7272,1.9656,2.6170,2.3017,2.3017,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8043.0201,2.3142,0.6711,1.6431,2.2259,2.6545,2.6545,0.0000,14.1493,4.1650,0.7521,8043.0201,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8045.3343,2.6501,0.7528,1.8973,2.5662,2.6397,2.6397,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8047.9844,2.6415,0.8405,1.8010,2.5558,2.2146,2.2146,0.0000,13.3500,4.1769,0.7993,8047.9844,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8050.6259,2.2044,0.6688,1.5356,2.1289,2.7034,2.7034,0.0000,14.8854,4.1670,-1.5354,8050.6259,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8052.8303,2.7141,0.8449,1.8692,2.6279,3.0226,3.0205,0.0021,16.8480,12.5341,-1.9626,8052.8303,NA,17.3276,17.3276
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8055.5444,19.0237,18.9232,0.1005,18.8816,2.6849,2.5581,0.1268,26.6680,12.5135,-9.8200,8055.5444,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8074.5681,12.7076,12.6127,0.0949,12.4111,2.7722,2.5158,0.2564,20.1578,8.2870,6.5102,8074.5681,NA,17.3817,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8087.2757,8.7091,8.6048,0.1043,8.4872,3.2206,2.7097,0.5109,15.7372,8.3411,4.4206,8087.2757,NA,11.6713,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8095.9848,3.0962,2.7809,0.3153,2.9987,2.8908,2.8908,0.0000,15.3692,4.1874,0.3680,8095.9848,NA,16.0120,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8099.0810,2.9303,1.9762,0.9541,2.7933,2.8378,2.8378,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8102.0113,2.8029,0.9876,1.8153,2.7008,2.4756,2.4756,0.0000,13.5301,4.1403,1.8391,8102.0113,NA,13.1947,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8104.8142,2.5381,1.1376,1.4005,2.3735,2.7667,2.7667,0.0000,14.8675,4.1891,-1.3374,8104.8142,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8107.3523,2.7245,1.1549,1.5696,2.6021,2.5319,2.5319,0.0000,16.5185,4.1795,-1.6510,8107.3523,NA,16.5210,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8110.0768,2.5366,2.3562,0.1804,2.4095,3.4562,2.5613,0.8949,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8112.6134,3.4648,2.9098,0.5550,3.3291,2.7927,2.7876,0.0051,15.4369,4.1673,1.0816,8112.6134,NA,16.7054,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8116.0782,3.1320,3.0576,0.0744,2.9611,3.0558,2.9139,0.1419,16.1394,4.1442,-0.7025,8116.0782,NA,16.8670,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8119.2102,3.2930,3.2187,0.0743,3.0730,3.4188,3.2353,0.1835,17.1516,4.1635,-1.0122,8119.2102,NA,14.0186,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8122.5032,4.3467,4.2474,0.0993,3.9449,3.3062,2.8880,0.4182,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8126.8499,3.0089,2.3548,0.6541,2.9044,2.5590,2.5560,0.0030,13.6754,4.3155,3.4762,8126.8499,NA,13.1819,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8129.8588,2.5946,2.2156,0.3790,2.5613,3.4521,2.9770,0.4751,14.9820,4.0283,-1.3066,8129.8588,NA,14.4993,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8132.4534,3.5232,2.4534,1.0698,3.4188,2.8612,2.8612,0.0000,16.4157,4.1605,-1.4337,8132.4534,NA,15.5373,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8135.9766,2.8535,1.1357,1.7178,2.7568,2.3442,2.3442,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8138.8301,2.3563,0.8241,1.5322,2.2475,2.9373,2.9373,0.0000,14.1995,4.2238,2.2162,8138.8301,NA,14.6900,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8141.1864,2.9221,1.5739,1.3482,2.8285,2.4160,2.4160,0.0000,16.0670,4.1227,-1.8675,8141.1864,NA,15.9128,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8144.1085,2.4400,1.4851,0.9549,2.3224,2.7457,2.7457,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8146.5485,2.7533,0.8967,1.8566,2.6281,2.7613,2.7613,0.0000,14.8276,4.1685,1.2394,8146.5485,NA,15.0443,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8149.3018,2.7444,0.9374,1.8070,2.6361,2.5066,2.5066,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8152.0462,2.5060,1.1535,1.3525,2.3983,2.9459,2.9459,0.0000,13.4984,4.1839,1.3292,8152.0462,NA,17.2047,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8154.5522,2.9867,1.7935,1.1932,2.8382,3.1552,3.1552,0.0000,15.1763,4.1609,-1.6779,8154.5522,NA,15.3850,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8157.5389,3.1254,1.6975,1.4279,3.0067,2.7474,2.7474,0.0000,16.3505,4.1565,-1.1742,8157.5389,NA,15.5346,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8160.6643,2.7362,1.2872,1.4490,2.6287,2.5261,2.5261,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8163.4005,2.5167,1.1504,1.3663,2.4186,2.8692,2.8692,0.0000,14.6454,4.1561,1.7051,8163.4005,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8165.9172,2.8709,1.0888,1.7821,2.7711,2.8335,2.8335,0.0000,16.2848,4.1956,-1.6394,8165.9172,NA,17.8563,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8168.7881,2.8641,1.0032,1.8609,2.7337,2.6177,2.6177,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8171.6522,2.6406,1.8993,0.7413,2.4873,3.0023,3.0023,0.0000,14.7454,4.1450,1.5394,8171.6522,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8174.2928,2.9828,2.0197,0.9631,2.8490,3.0090,3.0090,0.0000,16.2498,4.1836,-1.5044,8174.2928,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8177.2756,3.0174,1.4125,1.6049,2.8752,2.4596,2.4596,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8180.2930,2.4204,1.8272,0.5932,2.3174,2.9220,2.9220,0.0000,14.4332,4.1549,1.8166,8180.2930,NA,17.3703,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8182.7134,3.2801,3.1911,0.0890,2.8190,3.1039,2.9276,0.1763,16.1677,4.2314,-1.7345,8182.7134,NA,14.5465,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8185.9935,5.2940,5.1808,0.1132,4.3040,3.9647,3.3870,0.5777,17.1190,4.1191,-0.9513,8185.9935,NA,12.7746,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8191.2875,4.3663,4.2489,0.1174,3.5503,3.6384,2.7209,0.9175,15.9441,4.1796,1.1749,8191.2875,NA,12.8923,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8195.6538,4.8415,4.7241,0.1174,3.8984,4.1701,2.9869,1.1832,15.7574,4.1552,0.1867,8195.6538,NA,12.0654,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8200.4953,5.4479,5.3280,0.1199,4.6588,3.3859,2.6888,0.6971,15.0711,4.1598,0.6863,8200.4953,NA,11.2331,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8205.9432,3.5014,3.3982,0.1032,2.8523,3.9975,3.4257,0.5718,13.7830,8.3332,1.2881,8205.9432,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8209.4446,5.8810,5.6835,0.1975,4.9943,4.0511,3.2925,0.7586,18.6148,4.1994,-4.8318,8209.4446,NA,13.7242,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8215.3256,7.8848,7.6484,0.2364,7.7615,3.4422,3.4341,0.0081,16.9332,4.1402,1.6816,8215.3256,NA,9.9130,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8223.2104,7.4287,7.2682,0.1605,6.2682,3.9678,2.8521,1.1157,13.1886,8.3330,3.7446,8223.2104,NA,7.0470,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8230.6391,4.5192,4.3809,0.1383,3.4222,3.9702,3.0674,0.9028,14.0929,4.1617,-0.9043,8230.6391,NA,10.3819,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8235.1583,6.6745,6.5259,0.1486,5.7805,3.6550,2.7577,0.8973,13.7354,8.3585,0.3575,8235.1583,NA,8.5588,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8241.8328,4.3162,4.1734,0.1428,3.1845,4.1602,3.2428,0.9174,15.4194,4.1584,-1.6840,8241.8328,NA,11.9068,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8246.1490,4.7764,4.6394,0.1370,3.7190,3.6709,2.7625,0.9084,15.2616,4.1836,0.1578,8246.1490,NA,12.0629,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8250.9254,6.9488,6.6945,0.2543,5.5097,4.2159,3.3287,0.8872,14.6688,8.3140,0.5928,8250.9254,NA,9.2649,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8257.8742,4.7616,4.5794,0.1822,3.5946,4.3107,3.3694,0.9413,16.0340,4.1715,-1.3652,8257.8742,NA,12.5645,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8262.6358,6.5567,6.4126,0.1441,5.6471,3.6503,2.7622,0.8881,15.4439,8.3242,0.5901,8262.6358,NA,10.7366,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8269.1925,3.9340,3.7563,0.1777,2.8792,3.5254,2.8342,0.6912,17.2114,4.1883,-1.7675,8269.1925,NA,16.0575,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8273.1265,4.0309,3.9126,0.1183,3.1363,3.7922,3.2380,0.5542,17.4657,4.1552,-0.2543,8273.1265,NA,15.2450,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8277.1574,4.5437,4.4190,0.1247,3.5545,3.9329,3.1276,0.8053,17.5900,4.1597,-0.1243,8277.1574,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8281.7011,6.1737,6.0336,0.1401,5.1951,3.8688,2.8179,1.0509,17.2060,4.1654,0.3840,8281.7011,NA,12.5543,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8287.8748,5.4067,5.2742,0.1325,4.5079,3.7121,2.7699,0.9422,15.1977,4.1744,2.0083,8287.8748,NA,11.7312,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8293.2815,5.0850,4.9337,0.1513,3.9313,3.7848,2.7934,0.9914,13.9654,4.1675,1.2323,8293.2815,NA,11.8851,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8298.3665,6.6178,6.4631,0.1547,5.3844,3.4098,2.8181,0.5917,13.0479,8.3253,0.9175,8298.3665,NA,8.0648,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8304.9843,4.7939,4.6502,0.1437,3.5618,3.7485,2.8267,0.9218,14.7554,4.1826,-1.7075,8304.9843,NA,11.4057,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8309.7782,6.5282,6.3951,0.1331,5.4665,3.4827,2.7195,0.7632,14.1441,4.1592,0.6113,8309.7782,NA,8.5817,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8316.3064,4.0350,3.9196,0.1154,3.4052,3.4472,2.7419,0.7053,11.7751,4.1646,2.3690,8316.3064,NA,8.7293,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8320.3414,4.0864,3.8383,0.2481,2.8174,3.8470,3.2562,0.5908,11.9047,4.1804,-0.1296,8320.3414,NA,11.8797,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8324.4278,2.7782,2.6820,0.0962,2.5780,2.8785,2.8727,0.0058,11.9987,4.1557,-0.0940,8324.4278,NA,10.0813,10.0813
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8327.2060,6.4387,6.3138,0.1249,5.7683,3.1530,2.6141,0.5389,13.3762,4.1865,-1.3775,8327.2060,NA,9.2327,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8333.6447,4.4618,4.3238,0.1380,3.2953,3.6756,2.8484,0.8272,11.1240,8.3121,2.2522,8333.6447,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8338.1065,3.6952,3.5834,0.1118,2.8205,3.9948,3.2279,0.7669,14.9743,4.1750,-3.8503,8338.1065,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8341.8017,5.1056,4.9849,0.1207,4.4167,3.1334,2.6244,0.5090,15.4541,4.1666,-0.4798,8341.8017,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8346.9073,2.9032,2.8048,0.0984,2.4445,3.4033,2.8413,0.5620,14.5151,4.2306,0.9390,8346.9073,NA,NA,NA
